InputSize,BloomFilterSize,HashFunctions,TestSize,FalsePosNos,FalsePosRate
700000,700000,"MURMUR3 CITYHASH FARMHASH ",30000,1623,0.0541
700000,700000,"MURMUR3 CITYHASH XXXHASH ",30000,1409,0.046966666666666664
700000,700000,"MURMUR3 CITYHASH ADLERHASH ",30000,1385,0.04616666666666667
700000,700000,"MURMUR3 CITYHASH CRCHASH ",30000,1393,0.04643333333333333
700000,700000,"MURMUR3 CITYHASH SIPHASH ",30000,1380,0.046
700000,700000,"MURMUR3 CITYHASH JENKINSHASH ",30000,1398,0.0466
700000,700000,"MURMUR3 FARMHASH XXXHASH ",30000,1374,0.0458
700000,700000,"MURMUR3 FARMHASH ADLERHASH ",30000,1392,0.0464
700000,700000,"MURMUR3 FARMHASH CRCHASH ",30000,1413,0.0471
700000,700000,"MURMUR3 FARMHASH SIPHASH ",30000,1367,0.045566666666666665
700000,700000,"MURMUR3 FARMHASH JENKINSHASH ",30000,1409,0.046966666666666664
700000,700000,"MURMUR3 XXXHASH ADLERHASH ",30000,1413,0.0471
700000,700000,"MURMUR3 XXXHASH CRCHASH ",30000,1435,0.04783333333333333
700000,700000,"MURMUR3 XXXHASH SIPHASH ",30000,1405,0.04683333333333333
700000,700000,"MURMUR3 XXXHASH JENKINSHASH ",30000,1404,0.0468
700000,700000,"MURMUR3 ADLERHASH CRCHASH ",30000,1393,0.04643333333333333
700000,700000,"MURMUR3 ADLERHASH SIPHASH ",30000,1411,0.04703333333333334
700000,700000,"MURMUR3 ADLERHASH JENKINSHASH ",30000,1418,0.047266666666666665
700000,700000,"MURMUR3 CRCHASH SIPHASH ",30000,1362,0.0454
700000,700000,"MURMUR3 CRCHASH JENKINSHASH ",30000,1388,0.046266666666666664
700000,700000,"MURMUR3 SIPHASH JENKINSHASH ",30000,1415,0.04716666666666667
700000,700000,"CITYHASH FARMHASH XXXHASH ",30000,1716,0.0572
700000,700000,"CITYHASH FARMHASH ADLERHASH ",30000,1686,0.0562
700000,700000,"CITYHASH FARMHASH CRCHASH ",30000,1677,0.0559
700000,700000,"CITYHASH FARMHASH SIPHASH ",30000,1696,0.05653333333333333
700000,700000,"CITYHASH FARMHASH JENKINSHASH ",30000,1661,0.05536666666666667
700000,700000,"CITYHASH XXXHASH ADLERHASH ",30000,1404,0.0468
700000,700000,"CITYHASH XXXHASH CRCHASH ",30000,1415,0.04716666666666667
700000,700000,"CITYHASH XXXHASH SIPHASH ",30000,1393,0.04643333333333333
700000,700000,"CITYHASH XXXHASH JENKINSHASH ",30000,1411,0.04703333333333334
700000,700000,"CITYHASH ADLERHASH CRCHASH ",30000,1390,0.04633333333333333
700000,700000,"CITYHASH ADLERHASH SIPHASH ",30000,1392,0.0464
700000,700000,"CITYHASH ADLERHASH JENKINSHASH ",30000,1434,0.0478
700000,700000,"CITYHASH CRCHASH SIPHASH ",30000,1446,0.0482
700000,700000,"CITYHASH CRCHASH JENKINSHASH ",30000,1448,0.048266666666666666
700000,700000,"CITYHASH SIPHASH JENKINSHASH ",30000,1392,0.0464
700000,700000,"FARMHASH XXXHASH ADLERHASH ",30000,1399,0.04663333333333333
700000,700000,"FARMHASH XXXHASH CRCHASH ",30000,1398,0.0466
700000,700000,"FARMHASH XXXHASH SIPHASH ",30000,1401,0.0467
700000,700000,"FARMHASH XXXHASH JENKINSHASH ",30000,1402,0.046733333333333335
700000,700000,"FARMHASH ADLERHASH CRCHASH ",30000,1456,0.04853333333333333
700000,700000,"FARMHASH ADLERHASH SIPHASH ",30000,1381,0.046033333333333336
700000,700000,"FARMHASH ADLERHASH JENKINSHASH ",30000,1409,0.046966666666666664
700000,700000,"FARMHASH CRCHASH SIPHASH ",30000,1423,0.047433333333333334
700000,700000,"FARMHASH CRCHASH JENKINSHASH ",30000,1432,0.047733333333333336
700000,700000,"FARMHASH SIPHASH JENKINSHASH ",30000,1368,0.0456
700000,700000,"XXXHASH ADLERHASH CRCHASH ",30000,1420,0.04733333333333333
700000,700000,"XXXHASH ADLERHASH SIPHASH ",30000,1409,0.046966666666666664
700000,700000,"XXXHASH ADLERHASH JENKINSHASH ",30000,1409,0.046966666666666664
700000,700000,"XXXHASH CRCHASH SIPHASH ",30000,1417,0.047233333333333336
700000,700000,"XXXHASH CRCHASH JENKINSHASH ",30000,1399,0.04663333333333333
700000,700000,"XXXHASH SIPHASH JENKINSHASH ",30000,1387,0.046233333333333335
700000,700000,"ADLERHASH CRCHASH SIPHASH ",30000,1441,0.04803333333333333
700000,700000,"ADLERHASH CRCHASH JENKINSHASH ",30000,1403,0.046766666666666665
700000,700000,"ADLERHASH SIPHASH JENKINSHASH ",30000,1397,0.046566666666666666
700000,700000,"CRCHASH SIPHASH JENKINSHASH ",30000,1407,0.0469
